銘柄コード,上場区分,銘柄,株価,社名,英文社名,業種,代表者,決算,資本金,住所,電話番号(IR),上場市場,上場年月日,単元株数
2873,東証1部,加ト吉,---,加ト吉,"KATOKICHI CO.,LTD.",食料品,---,---,---,---,---,東証1部,---,100株
2874,東証プライム,ヨコレイ,851.0,横浜冷凍,"YOKOHAMA REITO CO.,LTD.",卸売業,古瀬　健児,9月,"14,303,000千円",神奈川県横浜市西区みなとみらい四丁目６番２号　みなとみらいグランドセントラルタワー７階,045-210-0011,東証プライム,1962年12月1日,100株
2875,東証プライム,東洋水産,9375.0,東洋水産,"TOYO SUISAN KAISHA, LTD.",食料品,住本　憲隆,3月,"18,969,000千円",東京都港区港南二丁目１３番４０号,03-3458-5246,東証プライム,1970年9月28日,100株
2876,東証スタンダード,デルソーレ,445.0,デルソーレ,Delsole Corporation,食料品,大河原　泰,3月,"922,939千円",東京都江東区有明三丁目４番１０号　ＴＦＴビル西館７Ｆ,03-6736-5678,東証スタンダード,1993年2月19日,100株
2877,東証スタンダード,日東ベスト,780.0,日東ベスト,NittoBest Corporation,食料品,塚田　莊一郎,3月,"1,474,633千円",山形県寒河江市幸町４番２７号,0237-86-2100,東証スタンダード,1996年2月8日,100株
2878,ジ証,赤城水産,---,赤城水産,"AKAGI SUISAN CO.,LTD.",食料品,---,---,---,---,---,ジ証,---,1000株
2879,ジ証,ニチロサンフーズ,---,ニチロサンフーズ,"NICHIRO SUNFOODS CO.,LTD.",食料品,---,---,---,---,---,ジ証,---,1000株
2880,へ証,ミホウジャパン,---,ミホウジャパン,"MIHO JAPAN CO.,LTD.",食料品,---,---,---,---,---,へ証,---,1株
2881,名証2部,ケイエス冷凍食品,---,ケイエス冷凍食品,"KS FROZEN FOODS CO.,LTD.",食料品,---,---,---,---,---,名証2部,---,100株
2882,東証プライム,イートアンドホールディングス,2110.0,イートアンドホールディングス,"EAT&HOLDINGS Co.,Ltd",食料品,仲田　浩康,2月,"3,159,000千円",大阪府大阪市淀川区宮原３丁目３番３４号　新大阪DOIビル３Ｆ,03-5769-5050,東証プライム,2011年6月24日,100株
2883,東証スタンダード,大冷,1902.0,大冷,"DAIREI CO.,LTD",食料品,冨田　史好,3月,"1,909,825千円",東京都中央区月島２－３－１,03-3536-1551,東証スタンダード,2014年12月18日,100株
2884,東証プライム,ヨシムラ・フード・ホールディングス,1004.0,ヨシムラ・フード・ホールディングス,Yoshimura Food Holdings K.K.,食料品,吉村　元久,2月,"1,125,276千円",東京都千代田区内幸町二丁目２番２号,03-6206-1271,東証プライム,2016年3月4日,100株
2891,東証2部,オリエンタル酵母工業,---,オリエンタル酵母工業,"ORIENTAL YEAST CO.,LTD.",食料品,---,---,---,---,---,東証2部,---,1000株
2892,東証スタンダード,日本食品化工,2556.0,日本食品化工,"NIHON SHOKUHIN KAKO CO., LTD.",食料品,荒川　健,3月,"1,600,000千円",東京都千代田区丸の内２丁目７番２号　ＪＰタワー１２階,0545-52-3181,東証スタンダード,1961年10月1日,100株
2893,東証2部,ローマイヤ,---,ローマイヤ,LOHMEYERCORPORATION,食料品,代表取締役社長　中津濵健,---,---,栃木県那須塩原市島方457番地4,0287653500,東証2部,1962年11月7日,1000株
2894,東証スタンダード,石井食品,307.0,石井食品,"Ishii Food Co.,Ltd.",食料品,石井　智康,3月,"919,600千円",千葉県船橋市本町二丁目７番１７号,047-774-8748,東証スタンダード,1962年12月1日,100株
2897,東証プライム,日清食品ホールディングス,3324.0,日清食品ホールディングス,"NISSIN FOODS HOLDINGS CO.,LTD.",食料品,安藤　宏基,3月,"25,122,000千円",大阪府大阪市淀川区西中島四丁目１番１号,03-3205-5111,東証プライム,1963年10月21日,100株
2898,東証2部,ソントン食品工業,---,ソントン食品工業,"SONTONFOODINDUSTRYCO.,LTD.",食料品,代表取締役社長　石川紳一郎,---,---,東京都文京区千石四丁目39番17号,0359765731,東証2部,1963年7月8日,1000株
2899,東証プライム,永谷園ホールディングス,---,永谷園ホールディングス,"NAGATANIEN HOLDINGS CO.,LTD.",食料品,永谷　泰次郎,3月,"3,502,000千円",東京都港区西新橋二丁目３６番１号,03-3432-3105,東証プライム,1976年12月1日,100株
2901,東証スタンダード,ウェルディッシュ,796.0,ウェルディッシュ,Wel-Dish.Incorporated,食料品,小松　周平,3月,"989,000千円",東京都港区白金台５丁目１８番９号,03-6277-2308,東証スタンダード,1985年11月27日,100株
2902,名証メイン,太陽化学,1556.0,太陽化学,"TAIYO KAGAKU CO.,LTD.",食料品,山崎　長宏,3月,"7,730,000千円",三重県四日市市山田町８００番,059-340-0802,名証メイン,1986年11月12日,100株
2903,東証スタンダード,シノブフーズ,947.0,シノブフーズ,"SHINOBU FOODS PRODUCTS CO.,LTD.",食料品,松本　崇志,3月,"4,693,000千円",大阪府大阪市西淀川区竹島２丁目３番１８号,06-6477-0113,東証スタンダード,1987年4月1日,100株
2904,東証スタンダード,一正蒲鉾,729.0,一正蒲鉾,"ICHIMASA KAMABOKO CO.,LTD.",食料品,野崎　正博,6月,"940,000千円",新潟県新潟市東区津島屋７丁目７７番地,025-270-7111,東証スタンダード,1989年2月7日,100株
2905,東証スタンダード,オーケー食品工業,---,オーケー食品工業,"OK Food Industry Co., Ltd.",食料品,大重　年勝,3月,"1,859,070千円",福岡県朝倉市小田１０８０番地１,0946-22-2000,東証スタンダード,1989年11月29日,100株
2906,ジ証,ホッコク,---,ホッコク,"HOKKOKUCO.,LTD.",食料品,代表取締役社長　大浦真里枝,---,---,東京都千代田区三崎町二丁目20番3号水道橋西口会館201号,0335124001,ジ証,1990年2月22日,1000株
2907,東証スタンダード,あじかん,1216.0,あじかん,"AHJIKAN CO.,LTD.",食料品,足利　直純,3月,"1,102,250千円",広島県広島市西区商工センター七丁目３番９号,082-277-7010,東証スタンダード,1990年12月6日,100株
2908,東証プライム,フジッコ,1600.0,フジッコ,"FUJICCO CO., LTD.",食料品,福井　正一,3月,"6,566,000千円",兵庫県神戸市中央区港島中町６丁目１３番地４,078-303-5921,東証プライム,1990年12月25日,100株
2909,ジ証,トオカツフーズ,---,トオカツフーズ,"TOKATSU FOODS CO.,LTD.",食料品,---,---,---,---,---,ジ証,---,1000株
2910,東証プライム,ロック・フィールド,1590.0,ロック・フィールド,"ROCK FIELD CO.,LTD.",食料品,古塚　孝志,4月,"5,544,000千円",兵庫県神戸市東灘区魚崎浜町１５番地２,078-435-2800,東証プライム,1991年3月28日,100株
2911,東証スタンダード,旭松食品,2311.0,旭松食品,"ASAHIMATSU FOODS CO.,LTD.",食料品,木下　博隆,3月,"1,617,844千円",長野県飯田市駄科１００８番地,06-6306-4121,東証スタンダード,1992年9月22日,100株
2912,ジ証,鐘崎,---,鐘崎,"KANEZAKICO.,LTD.",食料品,代表取締役社長　吉田久武,---,---,宮城県仙台市若林区鶴代町6番65号,0222315141,ジ証,1993年7月2日,100株
2913,ジ証,フジフーズ,---,フジフーズ,"FUJI FOODS,INC.",食料品,---,---,---,---,---,ジ証,---,1000株
2914,東証プライム,ＪＴ,3965.0,日本たばこ産業,JAPAN TOBACCO INC.,食料品,寺畠　正道,12月,"100,000,000千円",東京都港区虎ノ門四丁目１番１号,03-6636-2914,東証プライム,1994年10月27日,100株
2915,東証プライム,ケンコーマヨネーズ,1777.0,ケンコーマヨネーズ,"KENKO Mayonnaise Co., Ltd.",食料品,島本　国一,3月,"5,424,000千円",兵庫県神戸市灘区都通三丁目３番１６号,03-5941-7682,東証プライム,1994年11月1日,100株
2916,東証スタンダード,仙波糖化工業,745.0,仙波糖化工業,"Semba Tohka Industries Co. ,Ltd",食料品,小林　光夫,3月,"1,500,500千円",栃木県真岡市並木町２丁目１番地１０,0285-82-2171,東証スタンダード,1994年11月16日,100株
2917,東証スタンダード,大森屋,897.0,大森屋,"OHMORIYA Co., LTD",食料品,稲野　達郎,9月,"814,340千円",大阪府大阪市此花区西九条１丁目１番６０号,06-6464-1198,東証スタンダード,1995年6月28日,100株
2918,東証プライム,わらべや日洋ホールディングス,2101.0,わらべや日洋ホールディングス,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",食料品,辻　英男,2月,"8,049,000千円",東京都新宿区富久町１３番１９号,03-5363-7010,東証プライム,1995年7月18日,100株
2919,福証,マルタイ,---,マルタイ,"MARUTAI CO.,LTD.",食料品,川島　英広,3月,"1,989,630千円",福岡県福岡市西区今宿青木１０４２番１,092-807-0711,福証,1995年9月29日,100株
2921,ジ証,フクシマフーズ,---,フクシマフーズ,"FUKUSHIMA FOODS CO.,LTD.",食料品,---,---,---,---,---,ジ証,---,1000株
2922,東証プライム,なとり,2138.0,なとり,"NATORI CO., LTD.",食料品,名取　三郎,3月,"1,975,125千円",東京都北区王子５丁目５番１号,03-5390-8111,東証プライム,1999年11月1日,100株
2923,東証スタンダード,サトウ食品,---,サトウ食品,"SATO FOODS CO., LTD.",食料品,佐藤　元,4月,"543,775千円",新潟県新潟市東区宝町１３番５号,025-275-1100,東証スタンダード,2001年4月11日,100株
2924,東証スタンダード,イフジ産業,1627.0,イフジ産業,"Ifuji Sangyo Co., Ltd.",食料品,藤井　宗徳,3月,"455,000千円",福岡県糟屋郡粕屋町戸原東二丁目１番２９号,092-938-4561,東証スタンダード,2001年8月29日,100株
2925,東証プライム,ピックルスコーポレーション,---,ピックルスコーポレーション,PICKLES CORPORATION,食料品,影山　直司,2月,"766,000千円",埼玉県所沢市東住吉７番８号,04-2925-7700,東証プライム,2001年12月18日,100株
2926,東証スタンダード,篠崎屋,79.0,篠崎屋,"SHINOZAKIYA,INC.",食料品,関根　雅之,9月,"1,000,000千円",埼玉県春日部市大字赤沼８７０番地１,048-970-4949,東証スタンダード,2003年11月28日,100株
2927,東証スタンダード,ＡＦＣ－ＨＤアムスライフサイエンス,869.0,ＡＦＣ－ＨＤアムスライフサイエンス,"AFC-HD AMS Life Science Co.,Ltd.",食料品,淺山　雄彦,8月,"2,131,839千円",静岡県静岡市駿河区豊田３丁目６番３６号,054-281-5238,東証スタンダード,2005年3月3日,100株
2928,札証アンビシャス,ＲＩＺＡＰグループ,249.0,ＲＩＺＡＰグループ,"RIZAP GROUP, Inc.",小売業,瀬戸　健,3月,"19,200,000千円",東京都新宿区西新宿八丁目１７番１号,03-5337-1337,札証アンビシャス,2006年5月30日,100株
2929,東証プライム,ファーマフーズ,948.0,ファーマフーズ,"Pharma Foods International Co., Ltd.",食料品,金　武祚,7月,"2,043,000千円",京都府京都市西京区御陵大原１番地４９,075-394-8600,東証プライム,2006年6月12日,100株
2930,東証プライム,北の達人コーポレーション,163.0,北の達人コーポレーション,Kitanotatsujin Corporation,化学,木下　勝寿,2月,"273,992千円",北海道札幌市中央区北一条西一丁目６番地　さっぽろ創世スクエア２５階,050-2018-6578,東証プライム,2012年5月29日,100株
2931,東証プライム,ユーグレナ,412.0,ユーグレナ,"euglena Co.,Ltd.",食料品,出雲　充,12月,"15,867,000千円",東京都港区芝五丁目２９番１１号,03-3454-4907,東証プライム,2012年12月20日,100株
2932,東証スタンダード,ＳＴＩフードホールディングス,1437.0,ＳＴＩフードホールディングス,"STI Foods Holdings,Inc.",食料品,十見　裕,12月,"1,048,375千円",東京都港区南青山１－１５－１４新乃木坂ビル４階,03-3479-6956,東証スタンダード,2020年9月25日,100株
2933,東証プライム,紀文食品,1066.0,紀文食品,KIBUN FOODS INC.,食料品,堤　裕,3月,"6,368,788千円",東京都中央区銀座五丁目１５番１号,03-6891-2600,東証プライム,2021年4月13日,100株
2934,東証グロース,ジェイフロンティア,1691.0,ジェイフロンティア,"J Frontier Co.,Ltd.",食料品,中村　篤弘,5月,"516,958千円",東京都渋谷区渋谷二丁目９番９号,03-6427-4662,東証グロース,2021年8月27日,100株
2935,東証プライム,ピックルスホールディングス,1046.0,ピックルスホールディングス,"PICKLES HOLDINGS CO.,LTD.",食料品,影山　直司,2月,"100,000千円",埼玉県所沢市東住吉７番８号,04-2931-0777,東証プライム,2022年9月1日,100株
2936,東証グロース,ベースフード,572.0,ベースフード,"BASE FOOD, Inc.",食料品,橋本　舜,2月,"1,132,046千円",東京都目黒区中目黒五丁目２５番２号,03-6416-8905,東証グロース,2022年11月15日,100株
2937,東証グロース,サンクゼール,1485.0,サンクゼール,"St.Cousair CO.,LTD.",食料品,久世　良太,3月,"1,134,150千円",長野県上水内郡飯綱町大字芋川１２６０番地,026-219-3902,東証グロース,2022年12月21日,100株
2938,東証スタンダード,オカムラ食品工業,2079.0,オカムラ食品工業,"Okamura Foods Co.,Ltd",食料品,岡村　恒一,6月,"1,093,000千円",青森県青森市八重田一丁目６番１１号,03-3666-2333,東証スタンダード,2023年9月27日,100株
2961,東証スタンダード,日本調理機,---,日本調理機,NITCHO CORPORATION,金属製品,齋藤　有史,9月,"799,549千円",東京都大田区東六郷三丁目１５番８号,03-3738-8259,東証スタンダード,2021年11月9日,100株
2962,東証スタンダード,テクニスコ,452.0,テクニスコ,"TECNISCO, LTD.",金属製品,関家　圭三,6月,"781,768千円",東京都品川区南品川二丁目２番１５号,03-3458-4561,東証スタンダード,2023年7月26日,100株
2970,東証スタンダード,グッドライフカンパニー,2632.0,グッドライフカンパニー,"GOOD LIFE COMPANY,INC.",不動産業,高村　隼人,12月,"59,000千円",福岡県福岡市博多区博多駅前二丁目１７番８号　３Ｆ,092-471-4123,東証スタンダード,2018年12月17日,100株
2974,福証,大英産業,942.0,大英産業,"DAIEISANGYO Co.,Ltd.",不動産業,一ノ瀬　謙二,9月,"335,650千円",福岡県北九州市八幡西区下上津役四丁目１番３６号,093-613-5500,福証,2019年6月4日,100株
2975,東証プライム,スター・マイカ・ホールディングス,851.0,スター・マイカ・ホールディングス,"Star Mica Holdings Co.,Ltd.",不動産業,水永　政志,11月,"481,942千円",東京都港区虎ノ門４－３－１　城山トラストタワー２８階,03-5776-2785,東証プライム,2019年6月1日,100株
2976,札証アンビシャス,日本グランデ,---,日本グランデ,"Nippon Grande Co.,Ltd.",不動産業,平野　雅博,3月,"182,726千円",北海道札幌市中央区大通西五丁目１番地１,011-211-8124,札証アンビシャス,2019年6月19日,100株
2978,東証グロース,ツクルバ,797.0,ツクルバ,tsukuruba inc.,不動産業,村上浩輝,7月,"60,139千円",東京都渋谷区恵比寿四丁目３番１４号　恵比寿ＳＳビル,03-4400-2946,東証グロース,2019年7月31日,100株
2980,東証プライム,ＳＲＥホールディングス,3285.0,ＳＲＥホールディングス,SRE Holdings Corporation,不動産業,西山　和良,3月,"4,185,621千円",東京都港区赤坂一丁目８番１号　赤坂インターシティＡＩＲ　１４階,03-6274-6550,東証プライム,2019年12月19日,100株
2981,東証グロース,ランディックス,2680.0,ランディックス,Landix Inc.,不動産業,岡田　和也,3月,"491,354千円",東京都世田谷区新町３－２２－２　ランディックスビルファースト,03-6420-3432,東証グロース,2019年12月19日,100株
2982,東証プライム,ＡＤワークスグループ,209.0,ＡＤワークスグループ,"A.D.Works Group Co.,Ltd.",不動産業,田中　秀夫,12月,"6,262,735千円",東京都千代田区内幸町二丁目２番３号,03-5251-7641,東証プライム,2020年4月1日,100株
2983,東証グロース,アールプランナー,1392.0,アールプランナー,"Arr Planner Co.,Ltd.",不動産業,梢　政樹,1月,"397,135千円",愛知県名古屋市東区東桜一丁目１３番３号,052-957-5860,東証グロース,2021年2月10日,100株
2984,東証スタンダード,ヤマイチ・ユニハイムエステート,811.0,ヤマイチ・ユニハイムエステート,"Yamaichi Uniheim Real Estate Co.,Ltd",不動産業,山田　茂,3月,"838,650千円",和歌山県和歌山市中之島１５１８番地　中之島８０１ビル５階,06-6204-0123,東証スタンダード,2022年6月20日,100株
2986,東証グロース,ＬＡホールディングス,6120.0,ＬＡホールディングス,"LA Holdings Co.,Ltd.",不動産業,脇田　栄一,12月,"1,422,753千円",東京都港区海岸一丁目９番１８号,03-5405-7350,東証グロース,2020年7月1日,100株
2987,東証グロース,タスキ,---,タスキ,TASUKI Corporation,不動産業,柏村　雄,9月,"2,254,773千円",東京都港区北青山二丁目７番９号,03-6812-9330,東証グロース,2020年10月2日,100株
2991,東証スタンダード,ランドネット,1118.0,ランドネット,LANDNET Inc.,不動産業,榮　章博,7月,"706,139千円",東京都豊島区南池袋１－１６－１５　ダイヤゲート池袋７階,03-3986-3981,東証スタンダード,2021年7月21日,100株
2993,東証スタンダード,長栄,2025.0,長栄,Choei Inc.,不動産業,長田　修,3月,"714,764千円",京都府京都市伏見区深草西浦町三丁目７０番地　第５長栄アストロビル,075-343-1600,東証スタンダード,2021年12月24日,100株
2997,東証グロース,ストレージ王,872.0,ストレージ王,"STORAGE-OH Co.,Ltd.",不動産業,荒川　滋郎,1月,"260,928千円",千葉県市川市市川南１丁目９－２３,047-314-1981,東証グロース,2022年4月27日,100株
2998,東証グロース,クリアル,2710.0,クリアル,CREAL Inc.,不動産業,横田　大造,3月,"1,245,424千円",東京都港区新橋二丁目１２番１１号　新橋２７ＭＴビル８階,03-6264-2561,東証グロース,2022年4月28日,100株
2999,東証スタンダード,ホームポジション,361.0,ホームポジション,"Home Position Co.,Ltd.",不動産業,伴野　博之,8月,"395,798千円",静岡県静岡市清水区吉川２６０番地,03-3516-3300,東証スタンダード,2022年6月23日,100株
3001,東証スタンダード,片倉工業,2030.0,片倉工業,"Katakura Industries Co.,Ltd.",繊維製品,上甲　亮祐,12月,"1,817,000千円",東京都中央区明石町６番４号,03-6832-0229,東証スタンダード,1949年5月16日,100株
3002,東証プライム,グンゼ,5120.0,グンゼ,GUNZE LIMITED,繊維製品,佐口　敏康,3月,"26,071,000千円",京都府綾部市青野町膳所１番地,06-6348-1314,東証プライム,1949年5月16日,100株
3003,東証プライム,ヒューリック,1359.0,ヒューリック,"Hulic Co.,Ltd.",不動産業,前田　隆也,12月,"111,609,000千円",東京都中央区日本橋大伝馬町７番３号,03-5623-8100,東証プライム,1949年5月16日,100株
3004,東証スタンダード,神栄,1578.0,神栄,SHINYEI KAISHA,卸売業,赤澤　秀朗,3月,"2,065,000千円",兵庫県神戸市中央区京町７７－１,078-392-6901,東証スタンダード,1949年5月16日,100株
3009,東証1部,川島織物セルコン,---,川島織物セルコン,"KAWASHIMA SELKON TEXTILES CO.,LTD.",繊維製品,中西　正夫,---,---,京都市左京区静市市原町２６５番地,075-741-4315,東証1部,1949年7月2日,1000株
3010,東証スタンダード,ポラリス・ホールディングス,205.0,ポラリス・ホールディングス,"Polaris Holdings Co., Ltd.",サービス業,辻川　高寛,3月,"65,571千円",東京都千代田区岩本町一丁目１２番３号,03-5822-3010,東証スタンダード,1961年10月1日,100株
3011,東証スタンダード,バナーズ,134.0,バナーズ,"BANNERS CO.,LTD.",小売業,小林　由佳,3月,"307,370千円",埼玉県熊谷市石原一丁目１０２番地,048-523-2018,東証スタンダード,1963年5月1日,100株
3020,東証スタンダード,アプライド,2721.0,アプライド,"Applied Co., Ltd.",小売業,岡　義治,3月,"381,000千円",福岡県福岡市博多区東比恵３丁目３－１,092-481-7801,東証スタンダード,2006年2月17日,100株
3021,東証スタンダード,パシフィックネット,1237.0,パシフィックネット,"Pacific Net Co.,Ltd",サービス業,上田　雄太,5月,"532,248千円",東京都港区芝五丁目３４番７号,03-5730-1441,東証スタンダード,2006年2月20日,100株
3022,東証1部,山下医科器械,---,山下医科器械,YAMASHITA MEDICAL INSTRUMENTS,卸売業,社長　山下　尚登,---,---,福岡市中央区渡辺通３−６−１５,092-726-8200,東証1部,2006年2月23日,100株
3023,東証スタンダード,ラサ商事,1412.0,ラサ商事,Rasa Corporation,卸売業,井村　周一,3月,"2,076,000千円",東京都中央区日本橋蛎殻町一丁目１１番５号ＲＡＳＡ日本橋ビルディング,03-3668-8231,東証スタンダード,2006年2月28日,100株
3024,東証スタンダード,クリエイト,1110.0,クリエイト,CREATE CORPORATION,卸売業,宇山　泰宏,3月,"646,494千円",大阪府大阪市西区阿波座一丁目１３番１５号,06-6538-2333,東証スタンダード,2006年3月3日,100株
3027,東証JASDAQ（スタンダード）,レデイ薬局,---,レデイ薬局,"LadyDrugStoreCO.,LTD.",小売業,社長　三橋　信也,---,---,松山市南江戸４−３−３７,089-917-8000,東証JASDAQ（スタンダード）,2006年3月17日,100株
3028,東証プライム,アルペン,2214.0,アルペン,"Alpen Co.,Ltd.",小売業,水野　敦之,6月,"15,163,000千円",愛知県名古屋市中区丸の内二丁目９番４０号,052-559-0121,東証プライム,2006年3月24日,100株
3030,東証スタンダード,ハブ,779.0,ハブ,"HUB CO.,LTD.",小売業,太田　剛,2月,"100,000千円",東京都千代田区外神田三丁目１４番１０号,03-3526-8682,東証スタンダード,2006年4月3日,100株
3031,東証プライム,ラクーンホールディングス,893.0,ラクーンホールディングス,"RACCOON HOLDINGS, Inc.",情報・通信業,小方　功,4月,"1,864,071千円",東京都中央区日本橋蛎殻町１－１４－１４,03-5652-1711,東証プライム,2006年4月6日,100株
3032,名証ネクスト,ゴルフ・ドゥ,380.0,ゴルフ・ドゥ,"GOLF DO CO.,LTD.",小売業,佐久間　功,3月,"515,838千円",埼玉県さいたま市中央区上落合二丁目３番１号,048-851-3111,名証ネクスト,2006年4月6日,100株
3033,ジ証,ビューカンパニー,---,ビューカンパニー,"VIEWCOMPANY CO.,LTD.",小売業,---,---,---,---,---,ジ証,---,1000株
3034,東証プライム,クオールホールディングス,1448.0,クオールホールディングス,"Qol Holdings Co.,Ltd.",小売業,中村　敬,3月,"5,786,000千円",東京都港区虎ノ門四丁目３番１号　城山トラストタワー３７階,03-6430-9060,東証プライム,2006年4月21日,100株
3035,東証スタンダード,ケイティケイ,570.0,ケイティケイ,ktk INC.,卸売業,青山　英生,8月,"294,675千円",愛知県名古屋市東区泉二丁目３番３号,052-931-1881,東証スタンダード,2006年4月18日,100株
3036,東証プライム,アルコニックス,1501.0,アルコニックス,ALCONIX CORPORATION,卸売業,手代木　洋,3月,"5,830,000千円",東京都千代田区永田町２－１１－１,03-3596-7400,東証プライム,2006年4月24日,100株
3037,東証JASDAQ（グロース）,スタイライフ,---,スタイライフ,StylifeCorporation,小売業,社長　藤田　雅章,---,---,東京都港区北青山１−２−３,03-5785-7001,東証JASDAQ（グロース）,2006年6月2日,1株
3038,東証プライム,神戸物産,3415.0,神戸物産,"KOBE BUSSAN CO.,LTD.",卸売業,沼田　博和,10月,"500,000千円",兵庫県加古川市加古川町平野１２５番１,079-458-0339,東証プライム,2006年6月8日,100株
3040,東証プライム,ソリトンシステムズ,1149.0,ソリトンシステムズ,SOLITON SYSTEMS K.K.,情報・通信業,鎌田　理,12月,"1,326,000千円",東京都新宿区新宿二丁目４番３号,03-5360-3801,東証プライム,2007年3月9日,100株
3041,東証スタンダード,ビューティカダンホールディングス,393.0,ビューティカダンホールディングス,"Beauty Kadan Holdings Co., Ltd.",卸売業,舛田　正一,6月,"213,240千円",熊本県熊本市南区流通団地１―４６,096-370-0004,東証スタンダード,2006年6月19日,100株
3042,東証グロース,セキュアヴェイル,279.0,セキュアヴェイル,SecuAvail Inc.,情報・通信業,米今　政臣,3月,"627,580千円",大阪府大阪市北区東天満一丁目１番１９号,06-6136-0026,東証グロース,2006年6月26日,100株
3043,東証JASDAQ（グロース）,モジュレ,---,モジュレ,modulatinc.,卸売業,代表取締役　門村　研三,---,---,東京都港区芝５−２５−１１,03-3454-2061,東証JASDAQ（グロース）,2006年6月20日,100株
3044,へ証,パワーアップ,---,パワーアップ,"POWER UP CO.,LTD.",小売業,---,---,---,---,---,へ証,---,100株
3045,東証スタンダード,カワサキ,1385.0,カワサキ,"Kawasaki & Co.,Ltd.",卸売業,川崎　久典,8月,"4,300千円",大阪府泉北郡忠岡町新浜２丁目９番１０号,072-439-8011,東証スタンダード,2006年7月27日,100株
3046,東証プライム,ジンズホールディングス,6860.0,ジンズホールディングス,JINS HOLDINGS Inc.,小売業,田中　仁,8月,"3,202,000千円",群馬県前橋市川原町二丁目２６番地４,03-6890-4800,東証プライム,2006年8月8日,100株
3047,福証Q-Board,ＴＲＵＣＫ－ＯＮＥ,368.0,ＴＲＵＣＫ－ＯＮＥ,"TRUCK-ONE CO., LTD.",卸売業,小川　雄也,12月,"97,725千円",山口県下松市生野屋南三丁目３番４０号,0833-44-1100,福証Q-Board,2006年8月8日,100株
3048,東証プライム,ビックカメラ,1646.5,ビックカメラ,BIC CAMERA INC.,小売業,秋保　徹,8月,"25,929,000千円",東京都豊島区高田三丁目２３番２３号,03-3987-8785,東証プライム,2006年8月10日,100株
3049,東証2部,エノテカ,---,エノテカ,"ENOTECA CO.,LTD.",小売業,廣瀬恭久,---,---,東京都港区南麻布五丁目１４番１５号,03-3280-6388,東証2部,2006年8月31日,1株
3050,東証プライム,ＤＣＭホールディングス,1408.0,ＤＣＭホールディングス,"DCM Holdings Co.,Ltd.",小売業,石黒　靖規,2月,"19,973,000千円",東京都品川区南大井六丁目２２番７号,03-5764-5214,東証プライム,2006年9月1日,100株
3051,東証1部,松坂屋ホールディングス,---,松坂屋ホールディングス,"MATSUZAKAYA HOLDINGS CO.,LTD.",小売業,---,---,---,---,---,東証1部,2006年9月1日,1000株
3052,ジ証,協和医科器械,---,協和医科器械,KYOWA MEDICAL CORPORATION,卸売業,---,---,---,---,---,ジ証,---,1000株
3053,東証スタンダード,ペッパーフードサービス,158.0,ペッパーフードサービス,"PEPPER FOOD SERVICE CO.,LTD.",小売業,一瀬　健作,12月,"10,000千円",東京都墨田区太平四丁目１番３号オリナスタワー１７Ｆ,03-3829-3210,東証スタンダード,2006年9月21日,100株
3054,東証スタンダード,ハイパー,290.0,ハイパー,HYPER Inc.,卸売業,望月　真貴子,12月,"572,374千円",東京都中央区日本橋堀留町二丁目９番６号,03-6855-8180,東証スタンダード,2006年9月28日,100株
3055,札証,ほくやく・竹山ホールディングス,861.0,ほくやく・竹山ホールディングス,"HOKUYAKU TAKEYAMA Holdings,Inc.",卸売業,眞鍋　雅信,3月,"1,000,000千円",北海道札幌市中央区北６条西１６丁目１番地５,011-633-1030,札証,2006年9月29日,100株
3057,名証ネクスト,ゼットン,---,ゼットン,zetton inc.,小売業,鈴木伸典,1月,"90,000千円",愛知県名古屋市中区栄三丁目１２番２３号,03-6416-4820,名証ネクスト,2006年10月19日,100株
3058,東証スタンダード,三洋堂ホールディングス,681.0,三洋堂ホールディングス,Sanyodo Holdings Inc.,小売業,加藤　和裕,3月,"100,000千円",愛知県名古屋市瑞穂区新開町１８番２２号,052-871-3434,東証スタンダード,2006年11月1日,100株
3059,東証スタンダード,ヒラキ,904.0,ヒラキ,"HIRAKI CO.,LTD.",小売業,伊原　英二,3月,"450,452千円",兵庫県神戸市須磨区中島町三丁目２番６号,078-967-4601,東証スタンダード,2006年11月14日,100株
3060,東証マザーズ,マガシーク,---,マガシーク,MAGASeekCorporation,小売業,社長　井上　直也,---,---,東京都千代田区西神田３−２−１,03-5212-5296,東証マザーズ,2006年11月28日,1株
3061,名証セントレックス,ＫＦＥ　ＪＡＰＡＮ,---,ＫＦＥ　ＪＡＰＡＮ,"KFEJAPANCO.,LTD.",卸売業,代表取締役社長　原田隆朗,---,---,神奈川県横浜市港北区新横浜三丁目18番20,0454741245,名証セントレックス,2006年11月20日,1株
3062,ジ証,アライドハーツ・ホールディングス,---,アライドハーツ・ホールディングス,"ALLIED HEARTS HOLDINGS CO.,LTD.",小売業,---,---,---,---,---,ジ証,---,100株
3063,東証グロース,ジェイグループホールディングス,705.0,ジェイグループホールディングス,j-Group Holdings Corp.,小売業,中川　晃成,2月,"85,786千円",愛知県名古屋市中区栄三丁目４番２８号,052-243-0026,東証グロース,2006年11月30日,100株
3064,東証プライム,ＭｏｎｏｔａＲＯ,2834.5,ＭｏｎｏｔａＲＯ,"MonotaRO Co.,Ltd.",小売業,田村　咲耶,12月,"2,042,000千円",大阪府大阪市北区梅田三丁目２番２号,06-4869-7190,東証プライム,2006年12月6日,100株
