特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
中京地区を地盤に「珈琲所コメダ珈琲店」を全国展開。朝食サービスに特徴。約９５％がＦＣ店,ＦＣ100(2024.2),7,533,52.1,10010000
北海道地盤のドラッグストア。道内２位。食品、日用品に強い。電力、ＡＩ関連や教育関係も,リテール98(1)、他2(2)(2024.5),---,1107,---,---
ブランド品を買い取り、自社・他社サイトで販売。２０年１月親会社が完全子会社化、上場廃止へ,【単独事業】ネット専業リユース95(44)、他5(21)(2019.9),92,---,---,---
ホームセンター、ペットショップを東北・関東・東海・中四国に多店舗展開。バローＨＤ傘下に,ダイユーエイト30(2)、タイム11(0)、ホームセンターバロー38(3)、アミーゴ14(6)、他7(10)(2024.2),22,1919,38.9,5410000
「串カツ田中」を直営、ＦＣで関東中心に全国展開。家族客多いのが特徴。新業態「鳥玉」等育成中,直営店売上73、ＦＣ商品売上18、ＦＣロイヤリティ収入4、他6(2023.11),43,428,39.0,5180000
「ＭＯＵＳＳＹ」など若年女性向け衣料のＳＰＡ。店員の接客に強み。中国・米国ほか海外展開も,衣料・服飾雑貨100【海外】11(2024.2),1356,1424,30.4,3600000
北陸最大手のドラッグストア。生鮮含めた食品と調剤併設に強み。スーパーのＭ＆Ａに注力,ヘルス10、ビューティ13、ライフ19、フード48、調剤11(2024.5),43,4735,35.4,4920000
店舗、ネットで自社ブランドの婦用バッグ、財布を販売。ネット比率、リピーター比率が高い,【単独事業】インターネット販売45、店舗販売55(2024.2),64,---,33.5,3800000
書籍用クロスと染色から出発。基材・製膜技術を軸に情報関連、自動車内装材、不織布など展開,印刷情報関連45(8)、住生活環境関連33(3)、包材関連17(2)、他5(3)【海外】24(2024.3),612,1095,41.4,5630000
トヨタ系合成樹脂製品の総合メーカー。自動車内装用レザー大手。環境対応商材の開発を強化,車両用87、住宅・住設用5、ファッション・生活資材用8【海外】45(2024.3),723,1400,38.9,6020000
ＥＣ型リユースとＰＣ回収が柱、障害者支援はＦＣ分離、直営特化、カンボジア金融事業は撤退,リユース・リサイクル67(11)、ソーシャルケア24(-20)、他9(-65)(2024.9),26,369,40.1,---
主力は鶏料理居酒屋「てけてけ」。ハンバーガーチェーンも展開。各店舗内での調理にこだわる,【単独事業】居酒屋88、他12(2024.2),126,---,38.7,4800000
靴中心の通販「ロコンド」運営、「リーボック」を国内展開。服中心の「マガシーク」も傘下に,ＥＣモール53、プラットフォーム31、他16(2024.2),---,270,35.9,5010000
サイト「Ｐ板．ｃｏｍ」を運営。試作用プリント基板製造受託。見積もり、注文をネット上で完結,【単独事業】プリント基板のＥコマース100(2024.3),36,---,38.5,5490000
糸井重里氏が創業。コンテンツ開発に軸足。手帳が売上６割超、利益は手帳新年版出る上期集中,【単独事業】直販70、卸売23、他7【海外】39(2024.8),142,---,38.1,6950000
博多ラーメン店「一風堂」が柱。フードコート、ラーメンダイニング等の業態も。海外展開強化,国内店舗運営44(10)、海外店舗運営45(12)、商品販売11(13)【海外】45(2024.3),17,608,40.9,5550000
情報セキュリティ機器の開発・製販が柱。ＩＴ軸のコンサルも。小規模企業が主顧客。累進配当,情報セキュリティ商品・ＯＡ関連商品販売80、経営支援サービス2、システムサポート17、他1(2024.2),508,688,34.6,5290000
回転ずし「スシロー」全国展開し国内首位。海外は台湾、香港、タイ等。傘下に京樽。すし居酒屋も,国内スシロー66(6)、海外スシロー26(8)、京樽7(-1)、他2(3)(2024.9),247,7134,42.2,7740000
旧トステム系ホームセンター。東日本中心。プロ用建材に強み。ＴＯＢで１０月２０日に上場廃止へ,【単独事業】ホームセンター96(4)、デベロッパー4(34)(2020.3),1447,---,39.3,5790000
仮想デスクトップのソリューション、ソフト・端末販売、保守・コンサル軸。クラウドサービスも,ＩＴインフラ事業100(2024.1),88,163,40.3,5690000
飲食店や医療、作業現場などの業務用ユニホームのネット通販を展開。中小事業者が主要顧客,【単独事業】サービス36、オフィスワーク57、他7(2023.12),148,---,31.6,4090000
自動車用シート材大手、エアバッグも。スポーツ用など衣料ＯＥＭ強い。独自技術で化粧品育成,車輌資材66(11)、ハイファッション14(5)、エレクトロニクス7(15)、環境・生活資材7(10)、メディカル他6(15)【海外】56(2024.3),1347,6296,43.8,6610000
毛織物染色大手、複合繊維も。不動産賃貸が下支え。抗菌や吸水・撥水など特殊加工技術も磨く,染色加工62(-1)、テキスタイル34(3)、不動産賃貸4(65)(2024.3),325,547,45.0,4850000
染色加工大手。高級プリント技術に強み。東南アで一貫生産。不動産賃貸、保育園等受託運営も,染色加工67(-3)、縫製品販売3(10)、子育て支援27(5)、倉庫0(0)、機械販売1(3)、洗濯1(11)、他1(80)【海外】27(2024.3),207,812,45.5,4870000
織物・編物の染色、高次加工の老舗。親会社の丸井織物が完全子会社化。２２年１２月２１日上場廃止,繊維98(-18)、機械製造販売2(1)(2022.3),107,131,40.7,3390000
ポリエステル織編物の精練・染色・捺染加工の代表格。大株主の東レが主納入先。企画力高い,繊維99(5)、他1(3)【海外】39(2024.3),856,1157,39.1,5660000
フェルト生産技術の応用でペン先や医療機器を製造。化粧用ペン先に傾注。祖業の製帽譲渡,テクノ製品70(20)、メディカル製品30(9)【海外】60(2024.3),124,352,47.1,4870000
旧豊国産業。祖業の繊維は１０年撤退。現在は飲食店１店運営。中国資本傘下。特設注意市場銘柄,食品31(-10)、デジタルメディア＆マーケティング69(-13)(2015.3),5,5,45.2,4360000
婦下着首位。百貨店・量販店向け卸が軸。傘下にピーチ・ジョン。抜本的な構造改革に着手,ワコール（国内）50(-4)、ワコール（海外）36(-6)、ピーチ・ジョン6(-2)、他8(0)【海外】37(2024.3),3830,17408,45.0,3960000
医療用不織布首位。手術に必要な消耗品を一括提供するプレミアムキットが主柱。四半期配当,滅菌用品類9、手術用品類89、治療用品類0、他2(2024.3),739,1420,44.1,6580000
ワーキングウェア大手。医療用白衣、サービス業向け開拓。カジュアルも手がける。生産は海外,衣料品製造販売100(2024.6),149,185,41.7,4240000
紳士用ドレス・カジュアルシャツ大手。夏季集中で利益は上期偏重。バングラなど海外生産強化,シャツ製造販売100、不動産賃貸0(2024.3),112,812,44.3,4120000
企業ユニホームと作業着などの企画・製販大手。信岡会長のＭＢＯで３月２５日上場廃止へ,年間物31、夏物9、防寒物4、別注他56(2014.3),149,469,40.2,3940000
１９２１年創業の縫い糸専業大手。家庭用は国内シェア約７割。０９年東洋紡ミシン糸の事業譲受,絹家庭糸2、合繊家庭糸18、合繊工業糸62、原材料・半製品18【海外】23(2024.3),109,376,50.5,4400000
ガーゼなど医療用衛生材料最大手。エア・ウォーター子会社。西松屋チェーンに育児用品卸す,メディカル27(4)、コンシューマ73(4)(2024.3),243,436,41.7,4870000
レナウンがダーバンを再統合。アパレル名門。不振続き、１３年中国・山東如意の子会社に,衣服等繊維製品関連100(2019.12),539,905,43.0,5000000
ウェディングドレスメーカー、中国に製造拠点。結婚式場運営、ハワイ、沖縄でのリゾート婚も,ホールセール25、コンシューマー75(2024.8),28,1039,40.1,4980000
アパレル大手。東京スタイルとサンエーが経営統合。ゴルフウェアや「ナノ・ユニバース」が主力,アパレル関連97(2)、他3(5)(2024.2),13,4102,60.0,13520000
アパレルＯＥＭ大手。中国、ミャンマー、バングラデシュ、ベトナムで生産。欧米系ＳＰＡ開拓,アパレルＯＥＭ100【海外】55(2024.3),153,17463,41.9,4950000
総合アパレル大手。ＳＣから百貨店内まで展開。「アンタイトル」他ブランド多数。１８年再上場,ブランド85(6)、デジタル6(6)、プラットフォーム9(1)、共通0(24)(2024.2),275,7175,43.1,4840000
専用機、モバイル向けゲームソフトの不具合検出（デバッグ）主力。９月２６日上場廃止、再上場へ,コンシューマゲーム39、デジタルソリューション28、アミューズメント機器25、メディア3、他5(2013.3),162,209,34.0,4180000
顧客体験を重視したネットマーケティング支援に特徴持つ。ＮＴＴデータグループの傘下,【単独事業】ＳＩＰＳ100(2024.3),190,---,38.9,6160000
インターネット決済サービスの収納代行、クイック入金が柱。スマホ決済「ペイビー」が成長,決済支援他100(2023.12),84,92,38.3,6640000
インターネット広告事業が柱。トレーディングカード販売を育成。ＩｏＴヘルスケア展開,【単独事業】広告85(-14)、トレカ14(-3)、他1(-78)(2024.9),39,---,33.5,6000000
アプリや各種システムの受託開発を展開。５ＧやＡＩの開発も。日本とアジアの越境流通を展開,ＩＣＴソリューション94(17)、クロスボーダー流通プラットフォーム6(-19)(2024.6),28,294,39.9,5390000
独立系ＳＩ大手。クレカ等決済系強い。傘下に北陸地盤のインテックや旧コマツ・旭化成系ＳＩ,オファリングサービス21(6)、ＢＰＭ7(11)、金融ＩＴ19(14)、産業ＩＴ22(15)、広域ＩＴソリューション30(11)、他0(8)(2024.3),6036,22394,40.5,8030000
受託開発はＡＩ・ＩｏＴ分野の開発に強み。中国でデバイス事業展開。ゲームコンテンツも,ライフデザイン30(0)、ＡＩ＆クラウド20(7)、コネクテッド49(0)(2024.2),34,562,39.4,5910000
高齢者の重症化予防システムと健康増進アプリが柱。ＤｅＮＡ傘下でデータ利活用事業を拡充,データヘルス関連サービス71、データ利活用サービス21、他8(2024.6),261,382,42.1,5430000
ネット市場調査２位級。ネットアンケートのほか座談会調査も。純粋持株会社化し６月再上場へ,リサーチ85(21)、ＩＴソリューション15(-4)(2012.12),210,261,32.4,4820000
情報処理サービス開発中堅。払込票決済など収納代行を拡大中。グーグルの販売代理店展開も,情報サービス59(8)、収納代行サービス41(4)(2020.12),615,852,41.2,5960000
ＳＮＳ「ＧＲＥＥ」運営から、スマホゲームが主軸に。メタバース事業にも力点。投資事業も,ゲーム・アニメ73(15)、メタバース12(3)、ＤＸ9(17)、コマース2(0)、投資4(-3)、他0(-59)(2024.6),---,1537,38.6,8120000
ＧＭＯ傘下。レンタルサーバー主力。グッズ作成等ＥＣ支援、ハンドメイド品流通、金融支援も,ホスティング53(33)、ＥＣ支援27(25)、ハンドメイド14(4)、金融支援6(-162)、他0(-2978)(2023.12),327,340,35.4,6500000
音楽や映像のデータベースを開発し配信業者などへ販売。感性データを基にした広告も育成,【単独事業】メディアビジネス99、コンテンツビジネス1(2024.3),63,---,41.9,6710000
ゲームソフト中堅のコーエーとテクモが０９年経営統合。オンラインゲーム含め海外展開強化へ,エンタテインメント94(36)、アミューズメント5(17)、不動産1(13)、他0(-163)【海外】40(2024.3),108,2531,37.5,8100000
コンサルとＩＴサービスの２本柱。理系の研究者多数。官公庁や金融に強み。利益は上期偏重,シンクタンク・コンサルティングサービス39(9)、ＩＴサービス61(5)(2024.9),1202,4573,41.1,10800000
恋愛シミュレーションゲーム先駆。スマホ向けアプリが主力。電子コミックも。顧客は女性中心,モバイルコンテンツ100【海外】14(2024.6),162,162,33.9,5170000
信越地盤の情報処理・システム開発中堅。首都圏へも展開。市役所など地方自治体向けに強み,情報処理・通信サービス21、ソフトウェア開発・システム提供サービス40、システム機器販売等19、他関連サービス20(2024.3),574,596,45.4,7070000
電子コミック中心のレンタルサイト「Ｒｅｎｔａ！」運営。海外配信の取り次ぎサービスも展開,電子書籍販売100(2024.3),113,---,34.4,5160000
業務用アプリのパッケージ専業。帳票ツールで高シェア。内野社長によるＭＢＯで上場廃止予定,ソフトウェア86(50)、セキュリティサービス14(27)(2013.2),71,492,39.4,9190000
インプラント、矯正など自由診療歯科向けサイト運営。Ｗｅｂマーケなど歯科経営支援も育成,メディア・プラットフォーム21(56)、医療機関経営支援74(5)、医療ＢｔｏＢ4(11)、クラウドインテグレ他1(-90)【海外】11(2024.5),127,285,36.3,5240000
経路検索サービス「駅探」運営。モバイル経由の個課金、法向けライセンス販売、広告を展開,モビリティサポート37(22)、広告配信プラットフォーム37(-4)、Ｍ＆Ａ・インキュベーション26(5)(2024.3),76,201,41.8,6230000
太陽光発電関連事業を展開。発電所の取得・売却、機器販売が主。サプリ販売、消毒機器ＯＥＭも,再生可能エネルギー55(-254)、新規エネルギー‥、サステナブル45(31)(2024.8),11,11,45.2,6530000
独立系情報システム会社。データセンター運用、ソフト開発が柱。年商１割超がりそなＨＤ向け,情報処理サービス53(17)、ソフトウエア開発25(14)、他情報サービス14(17)、システム機器販売8(1)(2024.3),809,1079,44.1,6050000
大学病院など大病院に医療用データ管理システムを提供。一般産業向けに文書管理システムも,医療ビジネス95(33)、公共ビジネス4(22)、ヘルステックビジネス1(-250)(2023.12),301,307,39.6,5740000
研究開発型ファブレス半導体企業。描画向け回路設計の使用許諾から、ＡＩ関連に軸足移行,ＩＰコアライセンス6、製品91、プロフェッショナルサービス3(2024.3),43,60,41.4,7770000
手ぶれ補正などスマホ用画像・動画処理ソフトのロイヤルティが柱。車載、ＯＣＲ分野に注力,ロイヤリティ収入52、受託開発収入43、他収入5【海外】54(2023.10),89,151,37.4,6310000
光回線や携帯、家電など営業支援。業務請負が主で材派遣も。観光や小売業へ分野を拡大中,アウトソーシング29(9)、材派遣15(4)、ＥＣ・ＴＣ支援42(2)、ホールセール13(3)、他1(-3)(2018.8),261,503,35.4,3900000
ＡＩを活用した企業データ分析やシステム開発を含むコンサルが主。関連ソフト開発や販売も,プロフェッショナルサービス70(39)、プロダクト30(24)(2024.6),528,545,35.0,7400000
スマホゲーム開発・運営。「キャプテン翼」などアニメや漫画など有力ＩＰ得意で海外でも実績,ゲーム94(14)、ブロックチェーン関連3(73)、他3(24)【海外】50(2023.12),415,479,37.0,6230000
ゲームなどのデバッグ（不具合検出、調整）・検証、ネット監視が主力、海外主要国に拠点,国内ソリューション57(6)、海外ソリューション28(1)、メディア・コンテンツ15(-13)【海外】33(2024.1),3236,3243,---,---
ヤフーと連携した電子コミック販売が柱。「ＬＩＮＥマンガ」運営会社のＴＯＢで上場廃止へ,【単独事業】電子書籍77(4)、クロスメディア23(2)(2021.3),148,---,37.3,7010000
韓国発祥、ＰＣ向けオンラインゲーム先駆、００年に日本進出。中国、韓国経由の売上が過半,オンラインゲーム等72、モバイル28【海外】97(2023.12),251,8475,38.1,6840000
化粧品・美容情報サイト「アットコスメ」運営。ＥＣ・実店舗の小売りと広告等マーケ支援が柱,マーケティング支援15(18)、リテール75(6)、グローバル7(-5)、他3(15)【海外】6(2024.6),478,1079,35.0,6690000
アーティストのファンサイト運営と電子チケット事業が柱。ＥＣやデジタルコンテンツ配信も,コンテンツ配信84(17)、電子チケット16(30)、他0(-106)(2024.3),---,317,---,---
比較・情報サイト、スマホゲーム、ＥＣの３本柱。ファンドと資本業務提携して企業買収を推進,ライフスタイルサポート72(8)、エンターテインメント18(-1)、ＥＣ10(-6)【海外】7(2024.7),67,813,37.8,6420000
イラスト制作ソフトが柱。売り切りからサブスクに移行。Ｗｅｂ３型コンテンツ流通基盤も育成,コンテンツ制作ソリューション74(36)、コンテンツ流通ソリューション13(-72)、ＵＩ／ＵＸ13(-7)【海外】68(2023.12),210,254,37.2,5700000
栗原はるみの雑貨販売、企画制作が軸。ベンチャーなどへの事業投資も。ゲームは縮小傾向,デジタルＩＰ16(-9)、ライフスタイルＩＰ84(2)、ＩＰ投資育成0(-4088)、他0(-40)(2023.12),15,---,41.7,6090000
服飾に特化したネット通販「バイマ」運営。海外在住バイヤーの出品に特徴。売買手数料が収益源,【単独事業】ソーシャルコマース100【海外】25(2024.1),150,---,36.0,7100000
ＥＲＰ、ＣＲＭの導入を支援。独自の企業間協調プラットフォームＣＢＰを第３の柱に育成,準委任契約等89、請負契約5、販売契約6【海外】19(2024.3),444,863,35.6,5970000
スマホやソーシャルアプリ向けゲームを開発・運営。非ゲーム事業は譲渡しゲームに特化,【単独事業】ソーシャルアプリ100(2023.12),118,---,36.7,5830000
従来型携帯向け位置情報ゲームから出発。１１年にスマホゲーム参入。Ｗｅｂ３など新分野を育成,エンターテインメント94(-5)、投資育成6(6)(2024.9),710,1235,35.8,---
タクシーやバス向け移動体管理システム提供。１８年６月２７日上場廃止、７月共同持株会社設立,移動体通信53(5)、装置等関連47(4)(2017.12),160,459,38.9,5250000
通信交換機やサーバー、基幹業務ソフトの導入や運用提案する事業拡大中。ドコモ販売店経営,【単独事業】ソリューション32(28)、モバイル68(6)(2024.3),194,---,38.1,4970000
Ｗｅｂ型電子カルテを主力とした総合医療情報システムを開発。九州地盤、東日本を重点開拓,【単独事業】システムソフトウェア47、ハードウェア24、保守サービス等28(2023.12),212,---,40.8,5620000
外部受託案件を中心にスマホゲームを展開。高知に運営開発拠点。ゲーム開発材派遣も,エンターテインメント＆ソリューション100(2024.9),121,217,---,---
自動車アフター市場の整備業、部品商等向け業務ソフトで高シェア。部品流通ネットワーク運営,クラウドサービス34、パッケージシステム66(2023.12),775,935,45.2,5880000
オークション等の情報分析サービスから出発。商品在庫管理や再流通ＥＣのサービスが成長,ソリューション53(21)、プラットフォーム34(7)、インキュベーション12(16)(2024.9),105,186,34.4,5240000
リサーチからＤＸやデジタルマーケティングへ事業の主軸が移行・拡大。世界市場へ事業展開,デジタルマーケティング41(6)、データマーケティング34(23)、インサイト26(14)【海外】17(2024.6),109,1686,40.5,6560000
据え置き機、モバイル向けゲームソフトの不具合検出（デバッグ）が主力。非ゲーム分野が成長中,エンタープライズ51(2)、エンターテインメント49(17)【海外】13(2024.3),1743,1811,43.2,6740000
独立系ＳＩ。国際資格ＰＭＰとＣＭＭＩレベル５に強み。２３年１１月ＭＢＯ成立、上場廃止へ,ソフトウェア開発サービス100(2023.9),641,1080,35.9,5680000
電子書籍取次で国内首位。コミック軸に独自の配信・ストア運営システムに強み。海外事業育成,電子書籍流通92(6)、戦略投資8(-15)(2024.2),310,600,35.6,6020000
求や不動産情報を一括検索する集約サイト展開。成果報酬型の課金に強み。Ｍ＆Ａ積極的,ライフサービスプラットフォーム97(23)、他3(10)(2024.3),242,927,32.9,5250000
データ解析でのＳＮＳマーケティング支援が柱。ビッグデータ販売も。中国向け販促は売却,ＳＮＳマーケティング支援46、ＤａａＳ54、Ｗｅｂ３関連‥【海外】54(2023.12),120,139,33.6,6080000
Ｗｅｂ会議などコミュニケーションサービス提供。遠隔医療やネットでのセミナー開催支援も,エンタープライズＤＸ40(12)、イベントＤＸ37(-18)、サードプレイスＤＸ23(29)【海外】11(2023.12),292,388,35.8,6310000
内部統制に役立つシステム証跡管理ソフト等と保守サービスが両輪。顧客は金融など大手多い,【単独事業】ライセンス28、保守サポート54、クラウド4、コンサルティング13、ＳＩＯ常駐1、他0(2024.3),125,---,39.0,6980000
食品流通・公共向けシステムをクラウド提供。電子認証分野育成。和歌山地盤でドコモ販売も,流通クラウド31(20)、官公庁クラウド45(8)、トラスト1(-224)、モバイルネットワーク23(1)(2023.12),561,794,37.4,5320000
結婚式場選びの口コミサイト運営。提携式場の掲載料が収益源。１０月１日オウチーノと経営統合,【単独事業】みんなのウェディング97、他3(2017.9),112,---,34.0,5490000
「秘密結社鷹の爪」等ＩＰ（著作権）ビジネス展開。Ｋ−ＰＯＰも。大株主は朝日放送グループ,ファスト・エンタテインメント100【海外】20(2024.3),60,140,35.3,5640000
演算高速化ソフト開発専門企業。自動運転、半導体製造、画像診断等へ提供、ＡＩ・量子技術強い,Ｓｏｌｕｔｉｏｎ96(32)、ＳａａＳ4(-31)(2024.9),270,320,36.4,7790000
電通グループ傘下。ネット専業２社が統合。メディアプランニングや広告配信システムが柱,デジタルマーケティング70(5)、インターネット関連サービス30(6)(2023.12),---,1249,39.1,9000000
婚活サイト運営。バーチャルライブ基盤、ＶＲ関連本格化狙う。ＭＢＯ成立で６月３０日上場廃止,マッチング77(31)、エンターテック6(-500)、ゲーム16(34)、他1(-213)(2020.9),29,119,35.7,6500000
ネット広告の効果測定サービスをクラウドで提供。ＥＣサイト構築関連も。海外展開を模索,マーケティングＤＸ支援79(5)、コマース支援21(1)(2024.9),145,371,34.2,---
キャッシュレスで金券を贈れるデジタルギフトサービスが柱。デジタルマーケティングも,デジタルマーケティング25(71)、フィンテック75(34)(2024.9),9,27,37.0,5880000
サイバーセキュリティ専業。標的型攻撃防ぐ「ヤライ」で著名。防衛省など安全保障関連を強化中,サイバー・セキュリティ81(28)、ソフトウエア開発・テスト19(6)(2024.3),142,207,36.9,6630000
スマホやＰＣなど法向け端末の一括管理サービスを提供。遠隔サポートも。保有特許豊富,ＩｏＴプラットフォームサービス89、リモートマネジメントサービス7、サポートサービス1、他サービス3(2024.3),396,412,33.1,5930000
ＧＭＯ傘下。マーケティング調査プラットフォームを提供。アジア回答網を構築、ＡＩ積極活用,アウトソーシングサービス67、Ｄ．Ｉ．Ｙサービス31、他サービス2【海外】28(2023.12),140,187,36.2,5720000
ポイントサイト「モッピー」やアフィリエイト運営、広告が収益源。暗号資産販売所も運営,モバイルサービス97(14)、フィナンシャルサービス3(-147)(2023.12),229,670,32.4,5560000
ソフトウェアテストなど品質保証が柱。ＳＩやコンサルも。技術者育成に独自色。買収に積極的,ソフトウェアテスト関連サービス64(23)、ソフトウェア開発関連サービス29(5)、他近接サービス6(2)(2024.8),5495,10266,38.0,6690000
音声・映像関連の開発用ソフトウェアが主力。海外や動画配信・広告など新分野開拓に注力中,ゲーム53(7)、エンタープライズ47(17)(2024.9),152,170,39.4,---
特種製紙と東海パルプが統合、独立系。特殊紙に強み。段ボールなど板紙製販で日本製紙と提携,産業素材46(3)、特殊素材23(2)、生活商品21(3)、環境関連10(1)(2024.3),480,1750,40.9,6470000
目的地までの経路探索ソフト「乗換案内」の開発販売が主軸。モバチケなどＭａａＳも展開,乗換案内82(7)、マルチメディア0(-34)、ソフトウェア11(3)、ハードウェア6(-42)、他0(-16)(2024.9),145,186,42.5,---
「ガンダム」などアニメ版権管理やアニメ番組プロデュースを展開。ＴＯＢ成立、２段階買収へ,メディア58(6)、ライツ36(42)、スポーツ6(9)(2019.8),29,94,34.0,5320000
信金など金融機関対象の業務支援パッケージを開発、販売。事業会社向けにも進出意欲が強い,システム94(41)、不動産賃貸6(10)(2024.9),125,142,33.8,6480000
動画投稿サイト「ニコニコ動画」主力。９月２６日上場廃止、１０月１日ＫＡＤＯＫＡＷＡと経営統合,モバイル37(15)、ゲーム11(9)、ポータル43(13)、ライブ3(-47)、他5(-13)(2013.9),---,1139,32.3,5740000
ＥＲＰコンサル。教育事業撤退の一方、ＥＶ充電機の販売模索し再建中。大株主は香港投資会社,【単独事業】ＩＴコンサルティング100(0)、デジタルサイネージ0(100)(2023.12),30,---,40.8,6190000
サーバー証明書発行の電子認証サービス業。親会社シマンテックがＴＯＢ実施、１０月末上場廃止,ＳＳＬサーバ証明書サービス70、クライアント認証サービス28、他サービス2(2011.12),174,174,38.3,6840000
プレステ用ゲームソフトの企画・開発主力、ロールプレイング系得意。アプリ等のライセンスも,【単独事業】製品部門26、ライセンス部門74【海外】41(2024.9),66,---,39.4,5600000
携帯、高度道路交通システム（ＩＴＳ）のソフト検証。親会社ＳＣＳＫのＴＯＢで上場廃止へ,【単独事業】開発支援検証サービス89、認定支援サービス0、検証情報サービス1、セキュリティ検証サービス1、他9(2018.3),862,954,41.0,6230000
ＩＴ発祥。買収で化粧品・健康食品の通販に。「ナノアクア」など複数ブランド。卸はＥＣ強化中,通販47(18)、卸売23(41)、衛生コンサルティング1(-42)、リテール28(-6)、他0(-336)(2024.9),97,99,41.3,3190000
祖業のソフト基盤技術から撤退。ＩｏＴに資源集中し経営再建。１９年進出のＭＶＮＯ関連が柱に,ストックビジネス83(9)、システム開発17(20)(2023.12),40,51,45.7,6030000
インターネットを利用した調査会社で首位。短期間、低価格に強み。ＴＯＢで上場廃止へ,自動調査46、集計6、分析10、定性調査8、カスタマイズリサーチ8、グローバルリサーチ4、ＱＰＲサービス6、他13(2013.6),637,864,31.3,5370000
東北地盤の携帯販売中堅。保険等進出。元代表らの不祥事で特設注意市場銘柄。光通信傘下,移動体通信店舗95(3)、テレマーケティング4(38)、不動産賃貸0(7)、他1(-28)(2013.10),397,418,---,---
病院向けに情報伝達システム、電子カルテを開発。ハードウェアの販売から保守サービスも,ソフトウェア30、ハードウェア42、保守サービス24、他4(2023.10),1668,1726,32.7,5370000
祖業のＩＴインフラ事業撤退、スマホ向け電子書籍等配信へ。光通信の完全子会社化で上場廃止,Ｂ２Ｂ40(-4)、Ｂ２Ｃ60(9)(2016.3),13,106,39.8,5970000
携帯販売代理店最大手。米投資ファンドのベインキャピタルによるＴＯＢ成立、上場廃止へ,モバイル84(1)、ソリューション9(0)、スマートライフ・クオカード7(9)、他0(2)(2024.3),4297,4929,39.3,5090000
リアルタイムソフトウェア技術に強み。宇宙分野や車両自動走行含むロボットで開発受託,【単独事業】モバイルネットワーク15、インターネット14、社会基盤システム39、宇宙先端システム33(2024.3),367,---,38.8,6620000
官公庁向け主体のＩＴコンサル。民間向け、技術者派遣育成。１０月サムシングＨＤと経営統合,コンサルティング24(6)、システム開発36(9)、材派遣40(2)(2018.3),58,283,48.0,7180000
オープンソースやクラウド製品を開発・販売。システム障害回避ソフトが柱。ＡＩ開発に意欲,オープンシステム基盤62(1)、アプリケーション38(-5)【海外】5(2023.12),47,553,43.1,6330000
証券やＦＸの取引システム開発・保守が柱。ヘルスケア併営。持分に暗号資産交換業者ＤＡＭＳ,金融ソリューション78(29)、ビジネスソリューション16(7)、ヘルスケア6(-49)(2024.9),88,94,40.8,5660000
医療機器・消耗品販売を展開。動物向け含め細胞治療サービスの収益化図る。ホテル金沢は売却,メディカル8(-440)、リアルアセット92(-2)(2024.3),2,16,52.0,7110000
測量、グリーンエネが主力。太陽光発電育成中。ファンドのＴＯＢ成立で２１年９月２７日上場廃止,空間情報64(-2)、グリーンエネルギー20(17)、森林活性化15(3)、他0(-64)(2021.3),26,4528,44.4,7940000
福祉施設、医療機関向け業務系コンピュータシステムを開発。ＭＢＯで１４年１月２７日上場廃止へ,福祉情報システム78(0)、医療情報システム15(-57)、コンサルティング2(-8)、組込ソフトウェア5(-4)(2013.3),325,430,37.8,4610000
ＩＴコンサル・開発を手がける。モバイル型電子決済端末や決済アプリサービスなどを展開,ＳＩソリューション38(16)、決済ソリューション58(0)、ＥＣソリューション4(-12)(2024.3),113,---,40.9,5630000
ポータルサイト中堅。広告・課金とブロードバンド（ＢＢ）が主力事業。顧客の女性比率高い,広告・課金50(0)、ブロードバンド50(12)(2018.3),201,240,36.6,5840000
システム構築・開発支援コンサル主力。ＪＭテクノ買収し半導体装置保守も。ＡＩ・ＩｏＴ実績,情報サービス91(15)、産業機械9(12)(2019.3),44,2088,43.2,7650000
スマホ向けゲームを展開。データセンターやアフィリエイト広告も。不動産賃貸・売買にも進出,ＩＴサービス9(-2)、コンテンツ47(0)、アセットマネージメント44(5)(2023.12),11,507,48.0,7560000
ソーシャルゲームを柱にＰＣオンライン・家庭用ゲームも展開。ライブ配信サービスにも進出,ゲーム98(16)、動画配信関連2(-27)(2024.5),46,225,39.3,5020000
ニチメン系情報処理会社が起源。インフラ構築と情報サービス開発が柱。医療クラウドに実績大,情報基盤66(11)、アプリケーション・サービス15(4)、医療システム19(15)(2024.3),598,1595,38.0,8010000
会計パッケージがメイン、特に固定資産管理、リース資産の管理などに強み。独立系。好財務,パッケージソリューション99(24)、他1(14)(2024.3),271,271,34.6,5940000
スマホゲーム「パズル＆ドラゴンズ」が収益柱、ＰＣオンラインゲーム、家庭用ゲームも展開,ゲーム100【海外】64(2023.12),449,1475,41.3,7300000
ＳＩとデータ入力が柱。物流ＳＩなどＭ＆Ａ展開中。会計ソフトのＰＣＡ創業者一族が筆頭株主,システム開発55(7)、アウトソーシング45(4)(2024.3),385,544,39.4,5410000
独自データベースに基づく与信管理サービスを提供。ｅラーニング事業やＢＰＯも展開,与信管理サービス等54(13)、ビジネスポータルサイト16(38)、教育関連6(24)、ＢＰＯサービス20(0)、他3(3)(2024.3),123,181,38.5,5250000
